periodo;cole_area_ubicacion;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_depto_ubicacion;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_mcpio_presentacion;estu_mcpio_reside;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;3;3;1;Entre 1 y 3 horas;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;36;233;37;61;53;40
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A1;2;2;1;Entre 30 y 60 minutos;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;43;212;51;46;41;37
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;37;167;44;38;26;29
20241;URBANO;170742000071;170742000071;SUCRE;NOCHE;SAN LUIS DE SINCÉ;OFICIAL;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;INST EDUC SAN JUAN BAUTISTA DE LA SALLE;1;A-;2;1;1;;;SUCRE;SUCRE;SINCELEJO;COROZAL;35;157;40;39;24;25
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;Entre 30 y 60 minutos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;34;177;43;42;35;28
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;3;1;1;30 minutos o menos;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;33;192;41;54;29;37
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;2;2;No Navega Internet;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;44;220;38;49;42;43
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;37;180;35;45;25;37
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;2;A-;3;1;2;Entre 1 y 3 horas;Más de 2 horas;SUCRE;SUCRE;SINCELEJO;MORROA;44;219;32;52;30;53
20241;RURAL;270670000157;270670000157;SUCRE;SABATINA;SAMPUÉS;OFICIAL;INST EDUC SAN LUIS BELTRAN;INST EDUC SAN LUIS BELTRAN;1;A-;1;1;1;No Navega Internet;Más de 2 horas;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;28;158;31;31;34;34
